name,descript,eval_link
Albert-Schweitzer-Kinderdörfer und Familienwerke e.V. Bundesverband,"Der Bundeverband der Albert-Schweitzer-Kinderdörfer und Familienwerke fungiert als Dachverband, Interessenvertretung und Förderkörperschaft für die an ihn angeschlossenen Vereine. Deutschlandweit bieten zehn Vereine soziale Hilfen in …",https://www.dzi.de/organisation/albert-schweitzer-kinderdoerfer-und-familienwerke-e-v-bundesverband/
all4africa e.V.,,https://www.dzi.de/organisation/all4africa-e-v/
Allgemeiner Blinden- und Sehbehindertenverein Berlin gegr. 1874 e.V. – älteste Selbsthilfeorganisation der Blinden und Sehbehinderten,Arbeitsschwerpunkt des Vereins ist die Beratung blinder und sehbehinderter Menschen sowie ihrer Angehörigen. In diesem Zusammenhang unterstützt der Allgemeine Blinden- und Sehbehindertenverein Berlin (ABSV) die …,https://www.dzi.de/organisation/allgemeiner-blinden-und-sehbehindertenverein-berlin-gegr-1874-e-v-aelteste-selbsthilfeorganisation-der-blinden-und-sehbehinderten/
Alzheimer Gesellschaft Berlin e.V. Selbsthilfe Demenz,Einen Schwerpunkt der Vereinsaktivitäten bildet die Beratung der Angehörigen von Demenzkranken. Im Rahmen des Projekts „Selbsthilfeinitiative zur Unterstützung von Angehörigen Demenzkranker“ werden Anfragen Rat suchender …,https://www.dzi.de/organisation/alzheimer-gesellschaft-berlin-e-v-selbsthilfe-demenz/
Andheri – Kinder- und Leprahilfe e.V. Dülmen,Die Andheri – Kinder- und Leprahilfe e.V. Dülmen unterstützt die katholische Schwesterngemeinschaft „Society of the Helpers of Mary“ mit Sitz im Stadtteil Andheri von Mumbai. …,https://www.dzi.de/organisation/andheri-kinder-und-leprahilfe-e-v-duelmen/
Andheri Hilfe e.V.,Die Andheri Hilfe e.V. fördert eine Vielzahl von Projekten in Indien und Bangladesch. Dazu arbeitet der Verein unter anderem eng mit dem ortsansässigen Andheri-Trust Indien …,https://www.dzi.de/organisation/andheri-hilfe-e-v/
Arbeitskreis EINE WELT St. Georg Köln-Weiß e.V.,Der Arbeitskreis EINE WELT St. Georg Köln-Weiß e.V. ist aus einer Initiative junger Frauen und Männer der katholischen Pfarrgemeinde St. Georg in Köln-Weiß hervorgegangen. Er …,https://www.dzi.de/organisation/arbeitskreis-eine-welt-st-georg-koeln-weiss-e-v/
arche noVa – Initiative für Menschen in Not e.V.,"arche noVa – Initiative für Menschen in Not e.V. leistet humanitäre Not- und Wiederaufbauhilfe, Katastrophenvorsorge und engagiert sich in langfristigen Projekten der Entwicklungszusammenarbeit. Nach dem …",https://www.dzi.de/organisation/arche-nova-initiative-fuer-menschen-in-not-e-v/
ARCHEMED – Ärzte für Kinder in Not e.V.,ARCHEMED unterstützt vor allem verschiedene Projekte in der Hauptstadt Asmara sowie in ländlichen Regionen Eritreas. Vor dem Hintergrund der Hilfe zur Selbsthilfe finanziert der Verein …,https://www.dzi.de/organisation/archemed-aerzte-fuer-kinder-in-not-e-v/
Ärzte der Welt e.V.,Ärzte der Welt e.V. ist das deutsche Mitglied des internationalen Netzwerks „Médecins du Monde“/„Doctors of the World“. Der Verein setzt seine Mittel weltweit für medizinische …,https://www.dzi.de/organisation/aerzte-der-welt-e-v/
Ärzte gegen Tierversuche e.V.,"Der Verein Ärzte gegen Tierversuche e.V. setzt sich für eine tierversuchsfreie Medizin ein, bei der Ursachenforschung und Vorbeugung von Krankheiten sowie der Einsatz von modernen …",https://www.dzi.de/organisation/aerzte-gegen-tierversuche-e-v/
"Ärzte ohne Grenzen e.V. – Médecins Sans Frontières (MSF), Deutsche Sektion",Das internationale Netzwerk Ärzte ohne Grenzen leistet in Kriegs- und Krisenregionen sowie nach Naturkatastrophen humanitäre medizinische Nothilfe. Die international besetzten Teams sind in rund 70 …,https://www.dzi.de/organisation/aerzte-ohne-grenzen-e-v-medecins-sans-frontieres-msf-deutsche-sektion/
atmosfair gGmbH,atmosfair gGmbH ist eine Klimaschutzorganisation mit dem Schwerpunkt Reise. Die Gesellschaft betreibt aktiven Klimaschutz unter anderem mit der Kompensation von Treibhausgasen durch erneuerbare Energien. Neben …,https://www.dzi.de/organisation/atmosfair-ggmbh/
Auxilium Gesellschaft für Entwicklungshilfe e.V.,Auxilium fördert in erster Linie die Entwicklungszusammenarbeit im Bereich der Aus- und Berufsbildung; räumlich liegt der Schwerpunkt dabei in verschiedenen Ländern Afrikas. Seit 1970 unterstützt …,https://www.dzi.de/organisation/auxilium-gesellschaft-fuer-entwicklungshilfe-e-v/
AYUDAME – Kinderhilfswerk Arequipa e.V.,Die Organisation ist Trägerin der Kindertagesstätte „Nuestro Hogar“ in Arequipa im Süden Perus. Dort werden derzeit bis zu 100 Kinder im Alter von zwei bis …,https://www.dzi.de/organisation/ayudame-kinderhilfswerk-arequipa-e-v/
Babynotfallhilfe Dortmund e.V.,,https://www.dzi.de/organisation/babynotfallhilfe-dortmund-e-v/
Back to Life e.V.,"Back to Life e.V. ist vor allem in der Entwicklungszusammenarbeit sowie in der Katastrophenhilfe tätig. Der Verein fördert insbesondere benachteiligte Menschen in Nepal, vor allem …",https://www.dzi.de/organisation/back-to-life-e-v/
Bärenherz Stiftung für schwerstkranke Kinder,Die Bärenherz Stiftung für schwerstkranke Kinder unterstützt Einrichtungen zur Entlastung von Familien mit schwerstbehinderten und unheilbar kranken Kindern. Konkret fördert sie ein Kinderhospiz in Wiesbaden …,https://www.dzi.de/organisation/baerenherz-stiftung-fuer-schwerstkranke-kinder/
Basisgesundheitsdienst Partnerdiözese Jabalpur/Indien e.V.,Bereits seit den 1960er Jahren arbeiten die Pfarrgemeinde St. Margareta in Münster und die Diözese Jabalpur (Bundesstaat Madhya Pradesh) zusammen. Der aus dieser Partnerschaft entstandene …,https://www.dzi.de/organisation/basisgesundheitsdienst-partnerdioezese-jabalpur-indien-e-v/
Bayerische Sportstiftung,Die Stiftung fördert insbesondere Nachwuchsleistungssportler:innen in bayerischen Vereinen und Leistungssportstrukturen. Neben Geld- und Sachleistungen sollen die jungen Athleten auch durch die Vermittlung von Ausbildungs- und …,https://www.dzi.de/organisation/bayerische-sportstiftung/
Behinderte Kinder in Deutschland e.V.,,https://www.dzi.de/organisation/behinderte-kinder-in-deutschland-e-v/
Berliner helfen e.V.,"Berliner helfen e.V. unterstützt in Berlin und Brandenburg Menschen, die unvermittelt und unverschuldet in Not geraten sind. Wenn Staat, Versicherungen und Krankenkassen eine zusätzliche Hilfe …",https://www.dzi.de/organisation/berliner-helfen-e-v/
BILD hilft e.V.,BILD hilft e.V. „Ein Herz für Kinder“ ist die Hilfsorganisation der Medienmarke BILD. Der Verein unterstützt Kinderhilfsprojekte sowohl in Deutschland als auch international und kooperiert …,https://www.dzi.de/organisation/bild-hilft-e-v-ein-herz-fuer-kinder/
Bischöfliche Aktion ADVENIAT e.V.,"Adveniat unterstützt Projekte und Initiativen der Kirche in Lateinamerika insbesondere mit dem Ziel der Armutsbekämpfung. Projektanträge kann jede katholische Gemeinschaft, Einrichtung, Pfarrei, Diözese, Bischofskonferenz oder …",https://www.dzi.de/organisation/bischoefliche-aktion-adveniat-e-v/
Bischöfliches Hilfswerk Misereor e.V.,"Misereor fördert weltweit Projekte in allen Bereichen der Entwicklungsarbeit. Schwerpunktmäßig werden Projekte der Landwirtschaft, der ländlichen und gesellschaftlichen Entwicklung, des Gesundheitswesens, der Bildung und Information …",https://www.dzi.de/organisation/bischoefliches-hilfswerk-misereor-e-v/
BJÖRN SCHULZ STIFTUNG,"Die Björn Schulz Stiftung begleitet schwerst- und unheilbar kranke Kinder, Jugendliche und junge Erwachsene mit ihren Familien von der Diagnosestellung, während des oft langjährigen Krankheitsverlaufs …",https://www.dzi.de/organisation/bjoern-schulz-stiftung/
Björn Steiger Stiftung,,https://www.dzi.de/organisation/bjoern-steiger-stiftung/
Bolivianisches Kinderhilfswerk e.V.,Das Bolivianische Kinderhilfswerk e.V. unterstützt insbesondere das Ausbildungs- und Gemeindezentrum CEMVA (Centro Educativo Multifuncionale Villa Armonía) im Stadtteil Villa Armonía der bolivianischen Stadt Sucre. Das …,https://www.dzi.de/organisation/bolivianisches-kinderhilfswerk-e-v/
Borneo Orangutan Survival Deutschland e.V.,Borneo Orangutan Survival Deutschland e.V. leitet einen Großteil seiner Einnahmen an die indonesische Nichtregierungsorganisation Borneo Orangutan Survival Foundation (BOS) weiter. Diese betreibt auf Borneo das …,https://www.dzi.de/organisation/borneo-orangutan-survival-deutschland-e-v/
BRH Bundesverband Rettungshunde e.V.,Der BRH Bundesverband Rettungshunde e.V. widmet sich laut des auf der Internetseite veröffentlichten Lageberichts 2019 unter anderem der Übernahme und Vermittlung von Rettungseinsätzen sowie sonstiger …,https://www.dzi.de/organisation/brh-bundesverband-rettungshunde-e-v/
Brot für die Welt,Brot für die Welt ist eine Aktion der evangelischen Landes- und Freikirchen in Deutschland. Rechtsträger ist das Evangelische Werk für Diakonie und Entwicklung e.V. Die …,https://www.dzi.de/organisation/brot-fuer-die-welt/
Brot gegen Not. Die Heiner Kamps Stiftung,"Brot gegen Not errichtet in bedürftigen Regionen der Welt Ausbildungsbackstuben, in denen Jugendliche und junge Erwachsene von erfahrenen, ehrenamtlich tätigen Bäckermeistern aus Deutschland in das …",https://www.dzi.de/organisation/brot-gegen-not-die-heiner-kamps-stiftung/
Bundesbehindertenhilfe e.V.,,https://www.dzi.de/organisation/bundesbehindertenhilfe-e-v/
Bundesverband für körper- und mehrfachbehinderte Menschen e.V. (BVKM),Der Bundesverband für körper- und mehrfachbehinderte Menschen e.V. (BVKM) engagiert sich in vielfältiger Hinsicht. Als Selbsthilfeeinrichtung vermittelt er Menschen mit Behinderungen und ihren Angehörigen Rat …,https://www.dzi.de/organisation/bundesverband-fuer-koerper-und-mehrfachbehinderte-menschen-e-v-bvkm/
Bundesverband Herzkranke Kinder e.V.,Der Bundesverband Herzkranke Kinder e.V. ist ein Selbsthilfeverband und vertritt 25 Mitgliedsvereine in ganz Deutschland. Er setzt sich in Kooperation mit diesen regionalen Elterninitiativen für …,https://www.dzi.de/organisation/bundesverband-herzkranke-kinder-e-v/
Bundesverband Selbsthilfe Körperbehinderter e.V.,"Der Bundesverband Selbsthilfe Körperbehinderter e.V. unterstützt seit 1955 Menschen, die durch Unfall, Krankheit oder von Geburt an körperbehindert sind. Dem Bundesverband sind auf Landesebene Landesverbände …",https://www.dzi.de/organisation/bundesverband-selbsthilfe-koerperbehinderter-e-v/
Bündnis Entwicklung Hilft – Gemeinsam für Menschen in Not e.V.,"Bündnis Entwicklung Hilft ist ein Zusammenschluss der neun Hilfswerke Brot für die Welt, Christoffel-Blindenmission, DAHW Deutsche Lepra- und Tuberkulosehilfe, Kindernothilfe, medico international, Misereor, Plan International, …",https://www.dzi.de/organisation/buendnis-entwicklung-hilft-gemeinsam-fuer-menschen-in-not-e-v/
Bürgerhilfeverein e.V.,,https://www.dzi.de/organisation/buergerhilfeverein-e-v/
Campact e.V.,"Campact e.V. organisiert Kampagnen, bei denen sich Interessierte über das Internet an gesellschaftlichen Debatten beteiligen können. Mit seinen Maßnahmen zielt der Verein darauf ab, Menschen …",https://www.dzi.de/organisation/campact-e-v/
Cap Anamur/Deutsche Not-Ärzte e.V.,Cap Anamur ist hauptsächlich in der Not- und Katastrophenhilfe tätig. In rund zehn Ländern leistet der Verein weltweit Hilfe für Flüchtlinge und Menschen in Not. …,https://www.dzi.de/organisation/cap-anamur-deutsche-not-aerzte-e-v/
CARE Deutschland e.V.,"Die Arbeitsschwerpunkte von CARE Deutschland e.V. liegen in den Bereichen Nothilfe, Bildung, Frauenförderung, Gesundheitshilfe und Hygiene sowie Ernährungssicherung und Katastrophenvorsorge. Die Organisation unterstützt Projekte in …",https://www.dzi.de/organisation/care-deutschland-e-v/
Care in Action e.V.,"Care in Action e.V. setzt sich dafür ein, Waisen und benachteiligten Kindern in der Ukraine und in Malawi Hilfestellungen für ein selbstbestimmtes Leben und eine …",https://www.dzi.de/organisation/care-in-action-e-v/
Caritasverband der Erzdiözese München und Freising e.V.,Unter dem Dach des Caritasverbands der Erzdiözese München und Freising e.V. sind etwa 1.200 Einrichtungen zusammengeschlossen. Über 350 Einrichtungen unterhält der Verband in eigener Trägerschaft. …,https://www.dzi.de/organisation/caritasverband-der-erzdioezese-muenchen-und-freising-e-v/
CBM Christoffel-Blindenmission Christian Blind Mission e.V.,"Die CBM Christoffel-Blindenmission Christian Blind Mission e.V. (vormals Christoffel-Blindenmission Deutschland e.V.) ist eine internationale Entwicklungsorganisation. Sie verfolgt das Ziel, die Lebensqualität von Menschen mit Behinderungen …",https://www.dzi.de/organisation/christoffel-blindenmission-deutschland-e-v/
Charity – Kinderhilfswerk für AIDS betroffene Kinder in Afrika e.V.,Laut eigenen Angaben unterstützt das Charity - Kinderhilfswerk für AIDS betroffene Kinder in Afrika e.V. ein Waisenheim in Kenia.,https://www.dzi.de/organisation/charity-kinderhilfswerk-fuer-aids-betroffene-kinder-in-afrika-e-v/
CHF Hoffnung für Kinder gGmbH,,https://www.dzi.de/organisation/chf-hoffnung-fuer-kinder-ggmbh/
Child-Help Hilfe für Kinder mit schweren Missbildungen e.V.,,https://www.dzi.de/organisation/child-help-hilfe-fuer-kinder-mit-schweren-missbildungen-e-v/
Childaid Network,"Die 2007 gegründete Stiftung Childaid Network engagiert sich für benachteiligte Kinder und Jugendliche, die sonst keinen Zugang zu Bildung und beruflicher Qualifizierung haben. Zu den …",https://www.dzi.de/organisation/stiftung-childaid-network/
ChildFund Deutschland e.V.,"ChildFund Deutschland setzt sich weltweit in etwa 30 Ländern dafür ein, benachteiligten und in Not geratenen Kindern zu helfen und ihre Zukunftschancen zu verbessern. Da …",https://www.dzi.de/organisation/childfund-deutschland-e-v/
Children for a better World e.V.,Der Verein fördert unter anderem mit dem Wettbewerb „JUGEND HILFT!“ und einem Kinderbeirat das soziale Engagement und die Partizipation von Kindern und Jugendlichen. Darüber hinaus …,https://www.dzi.de/organisation/children-for-a-better-world-e-v/
Christliche Initiative Romero e.V.,"Die Christliche Initiative Romero e.V. setzt sich im Sinne des 1981 ermordeten Erzbischofs von San Salvador Oscar Romero für Arme, Ausgegrenzte und Verfolgte ein. Dies …",https://www.dzi.de/organisation/christliche-initiative-romero-e-v/
Christophorushilfe e.V. Förderverein für das Kinderzentrum Maulbronn,"Die Christophorushilfe unterstützt das Kinderzentrum Maulbronn gGmbH. Die gemeinnützige Gesellschaft unterhält eine Klinik mit einer Eltern-Kind-Station, einer Kinderstation und einer Ambulanz, eine private Schule und …",https://www.dzi.de/organisation/christophorushilfe-e-v-foerderverein-fuer-das-kinderzentrum-maulbronn/
CONCORDIA Sozialprojekte Stiftung Deutschland,"Die 2016 gegründete deutsche Stiftung leitet ihre Mittel für Programmarbeit vollumfänglich an die österreichische Partnerorganisation CONCORDIA Sozialprojekte Gemeinnützige Privatstiftung weiter. Zielsetzung von Concordia ist es, …",https://www.dzi.de/organisation/concordia-sozialprojekte-stiftung-deutschland/
CRF Krebsbekämpfung GmbH,,https://www.dzi.de/organisation/crf-krebsbekaempfung-gmbh/
